t,z_s
1.562500000000000000e-01,-5.070665328813785903e-04
1.572265625000000000e-01,-6.589308335559794028e-04
1.582031250000000000e-01,-8.106177844335767102e-04
1.591796875000000000e-01,-9.619990672764079176e-04
1.601562500000000000e-01,-1.112946273499926123e-03
1.611328125000000000e-01,-1.263331026008579104e-03
1.621093750000000000e-01,-1.413025101114318786e-03
1.630859375000000000e-01,-1.561900550421036838e-03
1.640625000000000000e-01,-1.709829822558143293e-03
1.650390625000000000e-01,-1.856685884646641378e-03
1.660156250000000000e-01,-2.002342343381292855e-03
1.669921875000000000e-01,-2.146673565612831295e-03
1.679687500000000000e-01,-2.289554798314637554e-03
1.689453125000000000e-01,-2.430862287818880488e-03
1.699218750000000000e-01,-2.570473398207805474e-03
1.708984375000000000e-01,-2.708266728746647634e-03
1.718750000000000000e-01,-2.844122230245556705e-03
1.728515625000000000e-01,-2.977921320238924915e-03
1.738281250000000000e-01,-3.109546996871626837e-03
1.748046875000000000e-01,-3.238883951382903574e-03
1.757812500000000000e-01,-3.365818679079945943e-03
1.767578125000000000e-01,-3.490239588694659875e-03
1.777343750000000000e-01,-3.612037110018622918e-03
1.787109375000000000e-01,-3.731103799712873550e-03
1.796875000000000000e-01,-3.847334445190894996e-03
1.806640625000000000e-01,-3.960626166474977977e-03
1.816406250000000000e-01,-4.070878515928065024e-03
1.826171875000000000e-01,-4.177993575765191238e-03
1.835937500000000000e-01,-4.281876053250719370e-03
1.845703125000000000e-01,-4.382433373489783186e-03
1.855468750000000000e-01,-4.479575769724598693e-03
1.865234375000000000e-01,-4.573216371048683705e-03
1.875000000000000000e-01,-4.663271287454452685e-03
1.884765625000000000e-01,-4.749659692132194265e-03
1.894531250000000000e-01,-4.832303900941008895e-03
1.904296875000000000e-01,-4.911129448974992789e-03
1.914062500000000000e-01,-4.986065164150669214e-03
1.923828125000000000e-01,-5.057043237744507022e-03
1.933593750000000000e-01,-5.123999291812240779e-03
1.943359375000000000e-01,-5.186872443424653256e-03
1.953125000000000000e-01,-5.245605365657501212e-03
1.962890625000000000e-01,-5.300144345276318510e-03
1.972656250000000000e-01,-5.350439337059974786e-03
1.982421875000000000e-01,-5.396444014710030310e-03
1.992187500000000000e-01,-5.438115818296162911e-03
2.001953125000000000e-01,-5.475415998191223224e-03
2.011718750000000000e-01,-5.508309655452778286e-03
2.021484375000000000e-01,-5.536765778611383616e-03
2.031250000000000000e-01,-5.560757276829205766e-03
2.041015625000000000e-01,-5.580261009396053802e-03
2.050781250000000000e-01,-5.595257811533352853e-03
2.060546875000000000e-01,-5.605732516480064001e-03
2.070312500000000000e-01,-5.611673973838085874e-03
2.080078125000000000e-01,-5.613075064158211218e-03
2.089843750000000000e-01,-5.609932709751255797e-03
2.099609375000000000e-01,-5.602247881712556568e-03
2.109375000000000000e-01,-5.590025603151618262e-03
2.119140625000000000e-01,-5.573274948622265398e-03
2.128906250000000000e-01,-5.552009039752267561e-03
2.138671875000000000e-01,-5.526245037074987120e-03
2.148437500000000000e-01,-5.496004128069197255e-03
2.158203125000000000e-01,-5.461311511416806416e-03
2.167968750000000000e-01,-5.422196377491795422e-03
2.177734375000000000e-01,-5.378691885097254717e-03
2.187500000000000000e-01,-5.330835134470942108e-03
2.197265625000000000e-01,-5.278667136583322685e-03
2.207031250000000000e-01,-5.222232778755562035e-03
2.216796875000000000e-01,-5.161580786628418467e-03
2.226562500000000000e-01,-5.096763682516440748e-03
2.236328125000000000e-01,-5.027837740185301350e-03
2.246093750000000000e-01,-4.954862936093470081e-03
2.255859375000000000e-01,-4.877902897142794882e-03
2.265625000000000000e-01,-4.797024844985852549e-03
2.275390625000000000e-01,-4.712299536941196021e-03
2.285156250000000000e-01,-4.623801203570837570e-03
2.294921875000000000e-01,-4.531607482977466177e-03
2.304687500000000000e-01,-4.435799351882011195e-03
2.314453125000000000e-01,-4.336461053545211455e-03
2.324218750000000000e-01,-4.233680022599831810e-03
2.333984375000000000e-01,-4.127546806863119019e-03
2.343750000000000000e-01,-4.018154986201921686e-03
2.353515625000000000e-01,-3.905601088525724376e-03
2.363281250000000000e-01,-3.789984502985544422e-03
2.373046875000000000e-01,-3.671407390459308345e-03
2.382812500000000000e-01,-3.549974591406889184e-03
2.392578125000000000e-01,-3.425793531180486642e-03
2.402343750000000000e-01,-3.298974122878447091e-03
2.412109375000000000e-01,-3.169628667832956326e-03
2.421875000000000000e-01,-3.037871753824279621e-03
2.431640625000000000e-01,-2.903820151116390334e-03
2.441406250000000000e-01,-2.767592706410898235e-03
2.451171875000000000e-01,-2.629310234818167669e-03
2.460937500000000000e-01,-2.489095409946402541e-03
2.470703125000000000e-01,-2.347072652211272363e-03
2.480468750000000000e-01,-2.203368015470344443e-03
2.490234375000000000e-01,-2.058109072088185488e-03
2.500000000000000000e-01,-1.911424796539496363e-03
2.509765625000000000e-01,-1.763445447659041983e-03
2.519531250000000000e-01,-1.614302449648427618e-03
2.529296875000000000e-01,-1.464128271950968776e-03
2.539062500000000000e-01,-1.313056308106987568e-03
2.548828125000000000e-01,-1.161220753702846796e-03
2.558593750000000000e-01,-1.008756483527909744e-03
2.568359375000000000e-01,-8.557989280543784171e-04
2.578125000000000000e-01,-7.024839493556219502e-04
2.587890625000000000e-01,-5.489477165791555383e-04
2.597656250000000000e-01,-3.953265810908712652e-04
2.607421875000000000e-01,-2.417569514074519878e-04
2.617187500000000000e-01,-8.837516803411883909e-05
2.626953125000000000e-01,6.468262167502581805e-05
2.636718750000000000e-01,2.172805885168004579e-04
2.646484375000000000e-01,3.692833461817417824e-04
2.656250000000000000e-01,5.205560756229697271e-04
2.666015625000000000e-01,6.709646489345238692e-04
2.675781250000000000e-01,8.203757526230163501e-04
2.685546875000000000e-01,9.686570101569967096e-04
2.695312500000000000e-01,1.115677103679085531e-03
2.705078125000000000e-01,1.261305894766698342e-03
2.714843750000000000e-01,1.405414544128060546e-03
2.724609375000000000e-01,1.547875630121194144e-03
2.734375000000000000e-01,1.688563265984644596e-03
2.744140625000000000e-01,1.827353215669912144e-03
2.753906250000000000e-01,1.964123008166843414e-03
2.763671875000000000e-01,2.098752050214644678e-03
2.773437500000000000e-01,2.231121737292670465e-03
2.783203125000000000e-01,2.361115562786749930e-03
2.792968750000000000e-01,2.488619225228503890e-03
2.802734375000000000e-01,2.613520733506903039e-03
2.812500000000000000e-01,2.735710509953211307e-03
2.822265625000000000e-01,2.855081491202433094e-03
2.832031250000000000e-01,2.971529226736468240e-03
2.841796875000000000e-01,3.084951975016328798e-03
2.851562500000000000e-01,3.195250797113036775e-03
2.861328125000000000e-01,3.302329647749148705e-03
2.871093750000000000e-01,3.406095463665273753e-03
2.880859375000000000e-01,3.506458249228456073e-03
2.890625000000000000e-01,3.603331159201866082e-03
2.900390625000000000e-01,3.696630578597902023e-03
2.910156250000000000e-01,3.786276199539530610e-03
2.919921875000000000e-01,3.872191095057494949e-03
2.929687500000000000e-01,3.954301789753883294e-03
2.939453125000000000e-01,4.032538327265486854e-03
2.949218750000000000e-01,4.106834334463371240e-03
2.958984375000000000e-01,4.177127082328136592e-03
2.968750000000000000e-01,4.243357543443462658e-03
2.978515625000000000e-01,4.305470446053695326e-03
2.988281250000000000e-01,4.363414324634448151e-03
2.998046875000000000e-01,4.417141566928469744e-03
3.007812500000000000e-01,4.466608457402325601e-03
3.017578125000000000e-01,4.511775217082804844e-03
3.027343750000000000e-01,4.552606039735358073e-03
3.037109375000000000e-01,4.589069124350284717e-03
3.046875000000000000e-01,4.621136703905876809e-03
3.056640625000000000e-01,4.648785070381183417e-03
3.066406250000000000e-01,4.671994595994602255e-03
3.076171875000000000e-01,4.690749750648030847e-03
3.085937500000000000e-01,4.705039115559870970e-03
3.095703125000000000e-01,4.714855393073751066e-03
3.105468750000000000e-01,4.720195412633423036e-03
3.115234375000000000e-01,4.721060132917878974e-03
3.125000000000000000e-01,4.717454640134341633e-03
3.134765625000000000e-01,4.709388142470382829e-03
3.144531250000000000e-01,4.696873960710024401e-03
3.154296875000000000e-01,4.679929515022283708e-03
3.164062500000000000e-01,4.658576307934202652e-03
3.173828125000000000e-01,4.632839903503998755e-03
3.183593750000000000e-01,4.602749902713519983e-03
3.193359375000000000e-01,4.568339915102755111e-03
3.203125000000000000e-01,4.529647526672655501e-03
3.212890625000000000e-01,4.486714264086047455e-03
3.222656250000000000e-01,4.439585555199871553e-03
3.232421875000000000e-01,4.388310685965445337e-03
3.242187500000000000e-01,4.332942753736832714e-03
3.251953125000000000e-01,4.273538617030800055e-03
3.261718750000000000e-01,4.210158841785151436e-03
3.271484375000000000e-01,4.142867644165529675e-03
3.281250000000000000e-01,4.071732829974011175e-03
3.291015625000000000e-01,3.996825730716014463e-03
3.300781250000000000e-01,3.918221136385167426e-03
3.310546875000000000e-01,3.835997225028881658e-03
3.320312500000000000e-01,3.750235489160380804e-03
